목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,festival_period,방문건수
대신택배/세종장군영업소,127.169003991242,36.4845326845587,공주시,월송동,생활편의,생활서비스,택배,2,3
대양건기,127.167781960928,36.4752837324307,공주시,월송동,기업/단체,업종별기업,기계,0,3
대양건기,127.167781960928,36.4752837324307,공주시,월송동,기업/단체,업종별기업,기계,1,3
대왕산삼백숙농원/총본점,127.25970090390206,36.36892874228697,공주시,반포면,생활편의,음식점,한식,0,6
대왕산삼백숙농원/총본점,127.25970090390206,36.36892874228697,공주시,반포면,생활편의,음식점,한식,1,10
대왕산삼백숙농원/총본점,127.25970090390206,36.36892874228697,공주시,반포면,생활편의,음식점,한식,2,5
대운철강,127.116480958097,36.4769499094205,공주시,신관동,기업/단체,업종별기업,철강 금속,0,9
대운철강,127.116480958097,36.4769499094205,공주시,신관동,기업/단체,업종별기업,철강 금속,1,3
대전교육연수원,127.23061044235732,36.3932101234623,공주시,반포면,공공편의,교육기관,연수원,0,105
대전교육연수원,127.23061044235732,36.3932101234623,공주시,반포면,공공편의,교육기관,연수원,1,35
대전교육연수원,127.23061044235732,36.3932101234623,공주시,반포면,공공편의,교육기관,연수원,2,20
대전별장펜션,127.259969012993,36.385544502679,공주시,반포면,여행/레저,숙박,펜션,0,9
대전별장펜션,127.259969012993,36.385544502679,공주시,반포면,여행/레저,숙박,펜션,1,4
대하촌,127.157199783154,36.4514530550745,공주시,옥룡동,생활편의,음식점,전문음식점,0,6
대하촌,127.157199783154,36.4514530550745,공주시,옥룡동,생활편의,음식점,전문음식점,1,3
대하촌,127.157199783154,36.4514530550745,공주시,옥룡동,생활편의,음식점,전문음식점,2,3
대학로공영주차장,127.138395721825,36.4715339883232,공주시,신관동,교통편의,자동차시설,주차장,0,22
대학로공영주차장,127.138395721825,36.4715339883232,공주시,신관동,교통편의,자동차시설,주차장,1,53
대학로공영주차장,127.138395721825,36.4715339883232,공주시,신관동,교통편의,자동차시설,주차장,2,5
대한사료,127.132007416604,36.4698674744996,공주시,신관동,쇼핑,쇼핑기타,농업용품관련,0,4
더덕순대1999,127.13502645129245,36.472205359188806,공주시,신관동,생활편의,음식점,한식,0,3
더덕순대1999,127.13502645129245,36.472205359188806,공주시,신관동,생활편의,음식점,한식,1,6
더벨리,127.02194519199436,36.54863634071442,공주시,사곡면,생활편의,카페,카페기타,1,7
더보양흑삼삼계탕/공주점,127.12225061493216,36.46467474974644,공주시,웅진동,생활편의,음식점,한식,0,3
더쉼펜션,127.241276460961,36.359797324953,공주시,반포면,여행/레저,숙박,펜션,0,20
